id;createdTime;ESQUEMA;TABLA;ID_ORIGEN;MODELO
rectwFjuYs69KB2e5;2020-06-22T01:17:25.000Z;dwh;FAC_ESTRATEGIAS_HISTORIAL_ICS;dwh.FAC_ESTRATEGIAS_HISTORIAL_ICS;
recuDDIQQbqJ93mtQ;2020-06-22T01:17:25.000Z;core;/usr/cobol/salto/arch/mcajas-det;core./usr/cobol/salto/arch/mcajas-det;
recuehxF1n9MxH6B1;2020-06-22T01:17:25.000Z;ics;COBRA.PEOPLE;ics.COBRA.PEOPLE;
recukS79jaxS2SFYR;2020-06-22T01:17:25.000Z;core;"interface file ""transf-recuperomora"" (no persistente)";"core.interface file ""transf-recuperomora"" (no persistente)";
recv4meDSq2r6MDQp;2020-06-22T01:17:25.000Z;dwh;FAC_SALDOS_CUPONES;dwh.FAC_SALDOS_CUPONES;
recvEC4WAJ5krpLmX;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_dwh_preevaluacionespr_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_dwh_preevaluacionespr_vw;
recwf3RVe5lO9ot3k;2020-06-22T01:17:25.000Z;telesoft;CR.ABOGADOEMPRESA;telesoft.CR.ABOGADOEMPRESA;
recwn6SZKf5QlFBXO;2020-06-22T01:17:25.000Z;dwh;N/A;dwh.N/A;
recxZ4WIdND04xKOk;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_magento_searchquery_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_magento_searchquery_vw;
recxg0TbYwOLOYMB3;2020-06-21T16:23:47.000Z;DWH;DIM_CLIENTES;DWH.DIM_CLIENTES;['recxgMb2Sqk07eRs5']
recxzIrb9mWQ5D4bO;2020-06-22T01:17:19.000Z;core;/usr/cobol/salto/arch/mautori;core./usr/cobol/salto/arch/mautori;
recy4Djk50qkn64tx;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_gruponaranja_ar_tuxpa_customers_vw;dlanalytics.db_naranja_facts_analytics.tb_gruponaranja_ar_tuxpa_customers_vw;
recyAhOlSNFlJxEvF;2020-06-22T01:17:25.000Z;ics;N/A;ics.N/A;
recymTUJURl5yNt8o;2020-06-22T01:17:25.000Z;dwh;FAC:_COBRANZAS_TITULARES;dwh.FAC:_COBRANZAS_TITULARES;
recynM7fH40opAbBf;2020-06-22T01:17:25.000Z;dlanalytics;dbAnalytics.tb_naranja_ar_dbanalytics_personas_vw;dlanalytics.dbAnalytics.tb_naranja_ar_dbanalytics_personas_vw;
reczMoJQAvKI3FWqc;2020-06-22T01:17:25.000Z;dlanalytics;db_naranja_facts_analytics.tb_naranja_ar_dwh_rentacum_vw;dlanalytics.db_naranja_facts_analytics.tb_naranja_ar_dwh_rentacum_vw;
reczc4ic4yxRcJHOB;2020-06-22T01:17:25.000Z;dwh;FAC_PRODUCTOS;dwh.FAC_PRODUCTOS;
reczmjBPxPrr0LLDU;2020-06-22T01:17:25.000Z;ics;COBRA.PROMISE;ics.COBRA.PROMISE;
