id;createdTime;ID_MEDICION;CODIGO_MODELO;METRICA;VALOR;FECHA_MEDICION;TIPO_CARGA
recZZ3ut31DnrpH6L;2020-06-06T21:25:19.000Z;97;['recSEwrC2O3ovnA5X'];['reclorU08L7PQsksS'];0.181;2020-05-27T13:32:00.000Z;Manual
recZZBjc5GBGeEz9C;2020-06-06T21:26:03.000Z;130;['recSEwrC2O3ovnA5X'];['recuvTDABHnU7W5JX'];0.8164;2020-04-14T18:17:00.000Z;Manual
recaI0exF9RXgy503;2020-06-06T21:26:03.000Z;133;['recSEwrC2O3ovnA5X'];['recuvTDABHnU7W5JX'];0.8337;2020-03-17T18:18:00.000Z;Manual
reccWGdcOOarn9cYz;2020-06-09T20:48:36.000Z;189;['recSEwrC2O3ovnA5X'];['rec1xistMWeE0KKml'];0.8834;2020-06-09T17:50:00.000Z;Manual
recclZZORT7S12irA;2020-05-09T16:14:53.000Z;37;['recSEwrC2O3ovnA5X'];['recasEDF0P6MHOt6p'];0.7893;2020-05-11T11:30:00.000Z;Manual
recd0o24Faxby1TBb;2020-06-09T20:48:19.000Z;187;['recSEwrC2O3ovnA5X'];['recuvTDABHnU7W5JX'];0.8559;2020-06-09T17:50:00.000Z;Manual
recdchnISWSQQLAWI;2020-06-09T20:48:41.000Z;190;['recSEwrC2O3ovnA5X'];['reclorU08L7PQsksS'];0.1784;2020-06-09T17:50:00.000Z;Manual
receiEBzY2lqZuU4c;2020-06-06T21:25:46.000Z;110;['recSEwrC2O3ovnA5X'];['recl9raxpjCpYkuZP'];0.0902;2020-04-14T18:17:00.000Z;Manual
recf2RPIFwa96EkO9;2020-06-06T21:30:11.000Z;150;['recSEwrC2O3ovnA5X'];['rec1xistMWeE0KKml'];0.8471;2020-04-14T18:17:00.000Z;Manual
recfwAgpkiYXfTnOt;2020-06-06T21:25:58.000Z;117;['recSEwrC2O3ovnA5X'];['rec9RVJnupV6lA2mJ'];0.0393;2020-05-27T13:32:00.000Z;Manual
recfx38ppCWE4LFp3;2020-06-06T21:31:12.000Z;163;['recSEwrC2O3ovnA5X'];['recHUbKQOWpS6BYGz'];0.7832;2020-03-17T18:18:00.000Z;Manual
recgBQazfPsovu1co;2020-06-06T21:25:24.000Z;103;['recSEwrC2O3ovnA5X'];['reclorU08L7PQsksS'];0.1736;2020-03-17T18:18:00.000Z;Manual
recgECpdLsU8LQxgs;2020-06-06T21:15:14.000Z;91;['recSEwrC2O3ovnA5X'];['recasEDF0P6MHOt6p'];0.7031;2020-02-27T18:18:00.000Z;Manual
rechLtYlv2nrLM3TH;2020-05-16T17:53:59.000Z;66;['recrisgF5hqZ4NFRV'];['recYoi2Haywrfwoyl'];60;2020-03-01T00:00:00.000Z;Manual
